Site,Sampling Location Description,Location Number,QR Code,Sample Label,Date,CalendarYear,Season,WaterYear,WaterSeason,Lake/Dayton,SRP mg P/L,N0x mg N/L,Urea mg N/L,NH4 mg N/L,TN mg N/L,TP mg P/L,Water Depth (cm),Temp (°C),pH,DO mgL,DO (%Sat),Conductivity (µS/cm),Turbidity (FNU),Notes,Is the data in Survey123?,NOx/SRP Analysis Date,TN/TP Analysis Date,NH4+ Analysis Date,Urea Analysis Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01547,EE_W0012_4,10/25/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.274,0.008,0.0335,1.275,0.022,,,,,,503,,forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01548,EE_W0013_5,10/25/2021,2021,Fall,2022,Fall,Dayton,0.18,5.432,0.024,0.0148,5.498,0.224,,,,,,338,,High flow but not flowing into wetland; forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01549,EE_W0014_6,10/25/2021,2021,Fall,2022,Fall,Dayton,0.089,5.423,0.032,0.0423,6.095,0.255,,,,,,448,,forgot sonde at lab; cond. measured back at lab,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01550,EE_W0015_1,10/26/2021,2021,Fall,2022,Fall,Dayton,0.065,6.282,0.029,0.005,7.897,0.146,,12.6,8.07,,95.6,430.4,33.03,High flow but not flowing into wetland - Looks like it did overflow into wetland overnight/early morning,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01551,EE_W0016_2,10/26/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.716,0.006,0.005,1.72,0.022,,14.1,7.98,,95.9,547,10.68,Water level up,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01552,EE_W0017_3,10/26/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.705,0.008,0.005,1.71,0.024,,14,7.98,,89.8,545,13.92,North Pool flowing into South Pool,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01553,EE_W0018_4,10/26/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.661,0.005,0.027,1.898,0.019,,13.4,7.83,,80.9,536,19.81,Water level up - probably groundwater connection to river because GMR never overflowed into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01554,EE_W0019_5,10/26/2021,2021,Fall,2022,Fall,Dayton,0.105,7.366,0.025,0.0346,8.328,0.211,,13.3,7.96,,89.8,433.4,95.64,High flow but not flowing into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01555,EE_W0020_6,10/26/2021,2021,Fall,2022,Fall,Dayton,0.131,7.97,0.028,0.0524,9.343,0.252,,13.7,7.9,,87.7,435.1,116.48,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01561,EE_W0021_1,11/8/2021,2021,Fall,2022,Fall,Dayton,0.008,3.851,0.011,0.005,3.893,0.035,,10.3,8.6,,101,670,2,Not flowing into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01562,EE_W0022_2,11/8/2021,2021,Fall,2022,Fall,Dayton,0.0015,2.868,0.014,0.005,2.868,0.075,,12.8,8.2,,115,576,3.1,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01563,EE_W0023_3,11/8/2021,2021,Fall,2022,Fall,Dayton,0.004,2.724,0.009,0.005,2.756,0.005,,12.6,8.3,,119,560,2.4,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01564,EE_W0024_4,11/8/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.211,0.019,0.005,5.623,0.017,,12.7,8.4,,130,536,4.5,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01565,EE_W0025_5,11/8/2021,2021,Fall,2022,Fall,Dayton,0.033,3.676,0.05,0.0025,3.739,0.097,,10.1,8.4,,100,673,4.6,Not flowing into wetland,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01566,EE_W0026_6,11/8/2021,2021,Fall,2022,Fall,Dayton,0.038,3.535,0.039,0.0102,3.56,0.104,,9.8,8.48,,99.7,684,4.24,,Yes,2/16/2022,,11/17/2021,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01572,EE_W0027_1,12/2/2021,2021,Fall,2022,Fall,Dayton,0.003,3.407,0.006,0.005,3.881,0.005,,6.8,8.32,,108.7,677,1.15,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01573,EE_W0028_2,12/2/2021,2021,Fall,2022,Fall,Dayton,0.0015,2.954,0.005,0.005,3.327,0.005,,7.1,8.39,,109.8,543.5,1.93,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01574,EE_W0024_3,12/2/2021,2021,Fall,2022,Fall,Dayton,0.0015,1.897,0.009,0.005,2.649,0.016,,7.4,8.67,,134.3,434.8,4.86,No flow between pools,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01575,EE_W0030_4,12/2/2021,2021,Fall,2022,Fall,Dayton,0.02,1.24,0.005,0.004,1.351,0.021,,6.8,8.09,,108.2,537,3.98,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01576,EE_W0031_5,12/2/2021,2021,Fall,2022,Fall,Dayton,0.01,2.634,0.007,0.005,3.359,0.056,,6.2,8.2,,104,711,2.45,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01577,EE_W0032_6,12/2/2021,2021,Fall,2022,Fall,Dayton,0.016,2.365,0.009,0.001,3.055,0.064,,5.9,8.7,,108.6,715,2.54,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01583,EE_W0033_1,12/20/2021,2021,Winter,2022,Fall,Dayton,0.003,5.464,0.015,0.008,5.938,0.029,,5.4,8.54,,127,631,4.1,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01584,EE_W0034_2,12/20/2021,2021,Winter,2022,Fall,Dayton,0.0015,2.883,0.011,0.007,3.243,0.005,,6.3,8.36,,114,598,2.51,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01585,EE_W0035_3,12/20/2021,2021,Winter,2022,Fall,Dayton,0.097,2.88,0.006,0.006,3.242,0.1,,5.8,8.4,,111,543,2,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01586,EE_W0036_4,12/20/2021,2021,Winter,2022,Fall,Dayton,0.0015,1.69,0.013,0.011,1.768,0.01,,5.6,8.5,,109,531,4.9,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01587,EE_W0037_5,12/20/2021,2021,Winter,2022,Fall,Dayton,0.024,4.975,0.028,0.048,6.452,0.152,,5.2,8.43,,102,577,42,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01588,EE_W0038_6,12/20/2021,2021,Winter,2022,Fall,Dayton,0.038,4.872,0.025,0.07,7.059,0.211,,5.3,8.44,,96.6,543,60,,Yes,2/16/2022,,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC conncetor),1,W01589,EE_W0039_1,1/3/2022,2022,Winter,2022,Winter,Dayton,0.014,4.55,0.012,0.015,5.115,0.139,,4,8.19,,101.6,457.8,31.5,high flow; overflowed into wetland night before,Yes,2/16/2022,2/7/2022,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (near SC connector),2,W01590,EE_W0040_2,1/3/2022,2022,Winter,2022,Winter,Dayton,0.012,2.601,0.013,0.024,3.367,0.128,,6,7.91,,72.4,440.8,46.5,,Yes,2/16/2022,2/7/2022,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01591,EE_W0041_3,1/3/2022,2022,Winter,2022,Winter,Dayton,0.021,3.168,0.019,0.02,3.079,0.129,,5.1,8.13,,78,397.4,93,deep; fully connecting N and S pools,Yes,2/16/2022,2/7/2022,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (near GMR connector),4,W01592,EE_W0042_4,1/3/2022,2022,Winter,2022,Winter,Dayton,0.06,2.91,0.021,0.037,3.827,0.258,,5.7,8.09,,85.6,337.3,126.5,"*2,3, and 4 are basically one large pool due to high water level",Yes,2/16/2022,2/7/2022,10/11/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (wetland inflow),5,W01593,EE_W0043_5,1/3/2022,2022,Winter,2022,Winter,Dayton,0.04,3.831,0.047,0.056,4.485,0.198,,4.2,8.14,,98.2,407.9,90.5,very high flow (>5000 cfs at sampling); overflowed into wetland night before (>10000 cfs),Yes,2/16/2022,2/7/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (upstream at covered bridge),6,W01594,EE_W0044_6,1/3/2022,2022,Winter,2022,Winter,Dayton,0.064,3.653,0.074,0.067,4.524,0.256,,4.3,8.15,,97.7,392.3,108.5,very high flow (>5000 cfs at sampling),Yes,2/16/2022,2/7/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01604,02212022_EE_W0045_1,2/21/2022,2022,Winter,2022,Winter,Dayton,0.04,3.907,,0.013,5.651,0.096,,3.5,8.4,13.1,99,536,9.2,Outflowing into Springcreek,Yes,6/13/2022,6/27/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01605,02212022_EE_W0046_2,2/21/2022,2022,Winter,2022,Winter,Dayton,0.172,3.342,,0.032,4.879,0.366,,4.4,7.9,11.5,89,370,40,Shallow and Turbid,Yes,6/13/2022,6/27/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01606,02212022_EE_W0047_3,2/21/2022,2022,Winter,2022,Winter,Dayton,0.178,3.117,,0.029,4.942,0.361,,2.9,7.8,11.6,86,339,35,Turbid,Yes,6/13/2022,6/27/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,South Pool (Near GMR Connector),4,W01607,02212022_EE_W0048_4,2/21/2022,2022,Winter,2022,Winter,Dayton,0.172,3.242,,0.13,4.5,0.381,,2.9,7.7,12.9,96,350,118,Turbid,Yes,6/13/2022,6/27/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Wetland inflow),5,W01608,02212022_EE_W0049_5,2/21/2022,2022,Winter,2022,Winter,Dayton,0.063,3.229,,0.077,4.831,0.242,,2.5,8.3,12.5,92,470,50,Turbid 3-5' below notch,Yes,6/13/2022,6/27/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Great Miami River (Upstream at Covered Bridge),6,W01609,02212022_EE_W0050_6,2/21/2022,2022,Winter,2022,Winter,Dayton,0.134,2.889,,0.094,4.82,0.318,,3.9,8.4,12.8,90,451,60,,Yes,6/13/2022,6/29/2022,6/27/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Springcreek (Upstream of SC Connector),1,W01620,032122_SC_W0051_1,3/21/2022,2022,Spring,2022,Winter,Dayton,0.0015,5.004,0.008,0.003,5.858,0.005,,10.3,8.66,15.01,133.4,569,3.8,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,North Pool (Near SC Conncetor),2,W01621,032122_SC_W0052_2,3/21/2022,2022,Spring,2022,Winter,Dayton,0.0015,2.911,0.008,0.003,4.064,0.005,,10.7,8.23,13.93,123.5,571,5.62,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring Creek,Connecting Channel,3,W01622,032122_SC_W0053_3,3/21/2022,2022,Spring,2022,Winter,Dayton,0.0015,2.545,0.017,0.002,2.849,0.005,,12.5,8.95,23.12,218.6,513,7.65,,Yes,6/15/2022,6/27/2022,6/27/2022,5/24/2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
